Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish,,
Fishes,Callichthyidae,Corydoras sp.,,corydoras,Exotic,Freshwater,,
Fishes,Callichthyidae,Hoplosternum littorale,,Brown Hoplo,Exotic,Freshwater,,
Fishes,Catostomidae,Carpiodes carpio,,River Carpsucker,Native,Freshwater,,
Fishes,Catostomidae,Moxostoma lachneri,,Greater Jumprock,Native,Freshwater,,
Fishes,Centrarchidae,Ambloplites rupestris,,Rock Bass,Native,Freshwater,,
Fishes,Centrarchidae,Lepomis auritus,,Redbreast Sunfish,Native,Freshwater,,
Fishes,Centrarchidae,Lepomis cyanellus,,Green Sunfish,Native,Freshwater,,
Fishes,Centrarchidae,Lepomis gulosus,,Warmouth,Native,Freshwater,,
Fishes,Centrarchidae,Lepomis humilis,,Orangespotted Sunfish,Native,Freshwater,,
Fishes,Centrarchidae,Lepomis megalotis,,Longear Sunfish,Native,Freshwater,,
Fishes,Centrarchidae,Micropterus coosae,,Redeye Bass (sensu lato),Native,Freshwater,,
Fishes,Centrarchidae,Micropterus notius,,Suwanee Bass,Native,Freshwater,,
Fishes,Centrarchidae,Micropterus punctulatus,,Spotted Bass,Native,Freshwater,,
Fishes,Centrarchidae,Pomoxis annularis,,White Crappie,Native,Freshwater,,
Fishes,Chaenopsidae,Protemblemaria punctata,,Warthead Blenny,Exotic,Freshwater,,
Fishes,Chaetodontidae,Chaetodon lunula,,raccoon butterflyfish,Native,Marine,,
Fishes,Chaetodontidae,Heniochus acuminatus,,featherfin bullfish,Exotic,Marine,,
Fishes,Chaetodontidae,Heniochus diphreutes,,schooling bannerfish,Exotic,Marine,,
Fishes,Chaetodontidae,Heniochus intermedius,,Red Sea bannerfish,Exotic,Marine,,
Fishes,Chaetodontidae,Heniochus sp.,,bannerfish,Exotic,Marine,,
Fishes,Channidae,Channa argus,,Northern Snakehead,Exotic,Freshwater,,
Fishes,Channidae,Channa marulius,,Bullseye Snakehead,Exotic,Freshwater,,
Fishes,Characidae,Aphyocharax anisitsi,,bloodfin tetra,Exotic,Freshwater,,
Fishes,Characidae,Colossoma macropomum,,tambaqui,Exotic,Freshwater,,
Fishes,Characidae,Colossoma or Piaractus sp.,,unidentified pacu,Exotic,Freshwater,,
Fishes,Characidae,Gymnocorymbus ternetzi,,black tetra,Exotic,Freshwater,,
Fishes,Characidae,Hyphessobrycon eques,,serpae tetra,Exotic,Freshwater,,
Fishes,Characidae,Metynnis sp.,,metynnis,Exotic,Freshwater,,
Fishes,Characidae,Moenkhausia sanctaefilomenae,,redeye tetra,Exotic,Freshwater,,
Fishes,Characidae,Piaractus brachypomus,,pirapatinga, red-bellied pacu,Exotic,Freshwater,
Fishes,Characidae,Piaractus mesopotamicus,,small-scaled pacu,Exotic,Freshwater,,
Fishes,Characidae,Pygocentrus nattereri,,red piranha,Exotic,Freshwater,,
Fishes,Characidae,Pygocentrus or Serrasalmus sp.,,unidentified piranha,Exotic,Freshwater,,
Fishes,Characidae,Serrasalmus rhombeus,,white piranha,Exotic,Freshwater,,
Fishes,Cichlidae,Aequidens pulcher,,blue acara,Exotic,Freshwater,,
Fishes,Cichlidae,Amphilophus citrinellus,,Midas Cichlid,Exotic,Freshwater,,
Fishes,Cichlidae,Amphilophus citrinellus x Cichlasoma urophthalmus,,Midas x Mayan cichlid hybrid,Exotic Hybrid,Freshwater,,
Fishes,Cichlidae,Archocentrus nigrofasciatus,,Convict Cichlid,Exotic,Freshwater,,
Fishes,Cichlidae,Astatotilapia calliptera,,eastern happy,Exotic,Freshwater,,
Fishes,Cichlidae,Astronotus ocellatus,,Oscar,Exotic,Freshwater,,
Fishes,Cichlidae,Cichla ocellaris,,Butterfly Peacock Bass,Exotic,Freshwater,,
Fishes,Cichlidae,Cichla temensis,,speckled pavon,Exotic,Freshwater,,
Fishes,Cichlidae,Cichlasoma bimaculatum,,Black Acara,Exotic,Freshwater,,
Fishes,Cichlidae,Cichlasoma salvini,,Yellowbelly Cichlid,Exotic,Freshwater,,
Fishes,Cichlidae,Cichlasoma trimaculatum,,Threespot Cichlid,Exotic,Freshwater,,
Fishes,Cichlidae,Cichlasoma urophthalmus,,Mayan Cichlid,Exotic,Freshwater,,
Fishes,Cichlidae,Geophagus sp.,,eartheater,Exotic,Freshwater,,
