Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish,,
Plants,Azollaceae,Azolla pinnata pinnata,,feathered mosquitofern,Exotic,Freshwater,,
Plants,Brassicaceae,Nasturtium officinale,,water-cress,Exotic,Freshwater,,
Plants,Cabombaceae,Cabomba palaeformis,,fish-grass,Exotic,Freshwater,,
Plants,Cannaceae,Canna glauca,,maraca amarilla,Exotic,Freshwater,,
Plants,Commelinaceae,Murdannia keisak,,marsh dewflower,Exotic,Freshwater,,
Plants,Convolvulaceae,Ipomoea aquatica,,water spinach,Exotic,Freshwater,,
Plants,Cyperaceae,Cyperus blepharoleptos,,Cuban bulrush,Exotic,Freshwater,,
Plants,Cyperaceae,Cyperus blepharoleptos,,Cuban bulrush (umbellate),Exotic,Freshwater,,
Plants,Cyperaceae,Cyperus blepharoleptos,,Cuban bulrush (capitate),Exotic,Freshwater,,
Plants,Cyperaceae,Cyperus papyrus,,papyrus,Exotic,Freshwater,,
Plants,Cyperaceae,Scleria eggersiana,,Eggers' nutrush,Native,Freshwater,,
Plants,Cyperaceae,Scleria microcarpa,,tropical nutrush,Native?,Freshwater,,
Plants,Fabaceae,Aeschynomene fluitans,,giant water sensitive plant,Exotic,Freshwater,,
Plants,Haloragaceae,Myriophyllum aquaticum,,parrot feather,Exotic,Freshwater,,
Plants,Haloragaceae,Myriophyllum spicatum,,Eurasian watermilfoil,Exotic,Freshwater-Brackish,,
Plants,Hydrocharitaceae,Egeria densa,,Brazilian waterweed,Exotic,Freshwater,,
Plants,Hydrocharitaceae,Hydrilla verticillata [dioecious],,dioecious hydrilla,Exotic,Freshwater,,
Plants,Hydrocharitaceae,Najas minor,,brittle waternymph,Exotic,Freshwater,,
Plants,Hydrocharitaceae,Ottelia alismoides,,duck-lettuce,Exotic,Freshwater,,
Plants,Hydroleaceae,Hydrolea capsularis,,spiny false fiddleleaf,Exotic,Freshwater,,
Plants,Iridaceae,Iris pseudacorus,,yellow iris,Exotic,Freshwater,,
Plants,Limnocharitaceae,Hydrocleys nymphoides,,water-poppy,Native,Freshwater,,
Plants,Lythraceae,Rotala rotundifolia,,roundleaf toothcup,Exotic,Freshwater,,
Plants,Marsileaceae,Marsilea macropoda,,big-foot water-clover,Native,Freshwater,,
Plants,Marsileaceae,Marsilea minuta,,dwarf water-clover,Exotic,Freshwater,,
Plants,Marsileaceae,Marsilea mutica,,Australian water-clover,Exotic,Freshwater,,
Plants,Marsileaceae,Marsilea oligospora,,Pacific waterclover,Native,Freshwater,,
Plants,Marsileaceae,Marsilea sp.,,waterclover,Unknown,Freshwater,,
Plants,Marsileaceae,Marsilea vestita,,hairy water-clover,Native,Freshwater,,
Plants,Menyanthaceae,Nymphoides cristata,,crested floating-heart,Exotic,Freshwater,,
Plants,Menyanthaceae,Nymphoides grayana,,Gray's floating-heart,Cryptogenic,Freshwater,,
Plants,Menyanthaceae,Nymphoides humboldtiana,,Humboldt's floating-heart,Cryptogenic,Freshwater,,
Plants,Menyanthaceae,Nymphoides peltata,,yellow floating-heart,Exotic,Freshwater,,
Plants,Nelumbonaceae,Nelumbo nucifera,,sacred lotus,Exotic,Freshwater,,
Plants,Nymphaeaceae,Nymphaea capensis,zanzibariensis,cape blue waterlily,Exotic,Freshwater,,
Plants,Nymphaeaceae,Nymphaea lotus,,white Egyptian lotus,Exotic,Freshwater,,
Plants,Nymphaeaceae,Nymphaea sp.,,waterlily,Unknown,Freshwater,,
Plants,Nymphaeaceae,Nymphaea x daubenyana [caerulea x micrantha],,waterlily,Exotic Hybrid,Freshwater,,
Plants,Onagraceae,Ludwigia peruviana,,Peruvian primrose-willow,Exotic,Freshwater,,
Plants,Philydraceae,Philydrum lanuginosum,,woolly frog's mouth,Native?,Freshwater,,
Plants,Phyllanthaceae,Phyllanthus fluitans,,red root floater,Exotic,Freshwater,,
Plants,Plantaginaceae,Bacopa repens,,creeping waterhyssop,Exotic,Freshwater,,
Plants,Plantaginaceae,Limnophila aromatica,,rice paddy herb,Exotic,Freshwater,,
Plants,Plantaginaceae,Limnophila indica,,Indian marshweed,Exotic,Freshwater,,
Plants,Plantaginaceae,Limnophila sessiliflora,,Asian marshweed,Exotic,Freshwater,,
Plants,Poaceae,Hymenachne amplexicaulis,,West Indian marsh grass,Exotic,Freshwater,,
Plants,Poaceae,Luziola subintegra,,Tropical American watergrass,Exotic,Freshwater,,
Plants,Pontederiaceae,Eichhornia crassipes,,floating waterhyacinth,Exotic,Freshwater,,
Plants,Pontederiaceae,Eichhornia paniculata,,Brazilian water hyacinth,Exotic,Freshwater,,
Plants,Pontederiaceae,Heteranthera limosa,,mud plantain,Native,Freshwater,,
Plants,Potamogetonaceae,Potamogeton crispus,,curly-leaf pondweed,Exotic,Freshwater,,
Plants,Pteridaceae,Ceratopteris thalictroides,,watersprite,Exotic,Freshwater,,
Plants,Salviniaceae,Salvinia minima,,water spangles,Exotic,Freshwater,,
Plants,Salviniaceae,Salvinia molesta,,giant salvinia,Exotic,Freshwater,,
Plants,Typhaceae,Typha angustifolia,,narrow-leaved cattail,Exotic,Freshwater,,
Reptiles-Crocodilians,Alligatoridae,Caiman crocodilus,,Common Caiman,Exotic,Freshwater,,
Reptiles-Crocodilians,Alligatoridae,Paleosuchus palpebrosus,,Dwarf Caiman,Exotic,Freshwater,,
Reptiles-Crocodilians,Alligatoridae,Paleosuchus trigonatus,,Schneider's Smooth-fronted Caiman,Exotic,Freshwater,,
Reptiles-Crocodilians,Crocodylidae,Crocodylus niloticus,,Nile Crocodile,Exotic,Brackish,,
Reptiles-Crocodilians,Crocodylidae,Mecistops cataphractus,,African Gavial,Exotic,Freshwater,,
Reptiles-Snakes,Acrochordidae,Acrochordus javanicus,,Javan Filesnake,Exotic,Freshwater,,
Reptiles-Snakes,Boidae,Eunectes murinus,,Green Anaconda,Exotic,Freshwater,,
Reptiles-Snakes,Boidae,Eunectes notaeus,,Yellow Anaconda,Exotic,Freshwater,,
Reptiles-Snakes,Colubridae,Erpeton tentaculatus,,Tentacled Snake,Exotic,Freshwater,,
Reptiles-Turtles,Bataguridae,Ocadia sinensis,,Chinese stripe-necked turtle,Exotic,Freshwater,,
Reptiles-Turtles,Bataguridae,Rhinoclemmys pulcherrima,,Painted Wood Turtle,Exotic,Freshwater,,
Reptiles-Turtles,Bataguridae,Rhinoclemmys punctularia,,Spot-legged Turtle,Exotic,Freshwater,,
Reptiles-Turtles,Chelidae,Chelus fimbriata,,Matamata Turtle,Exotic,Freshwater,,
Reptiles-Turtles,Chelidae,Platemys platycephala,,twist-necked turtle,Exotic,Freshwater,,
Reptiles-Turtles,Chelydridae,Chelydra serpentina,,Snapping Turtle,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Chrysemys picta,,Painted Turtle,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Chrysemys picta bellii,,Western Painted Turtle,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Chrysemys picta dorsalis,,Southern Painted Turtle,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Deirochelys reticularia chrysea,,Florida Chicken Turtle,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Glyptemys insculpta,,Wood Turtle,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Graptemys barbouri,,Barbour's Map Turtle,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Graptemys ernsti,,Escambia Map Turtle,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Graptemys ouachitensis,,Ouachita Map Turtle,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Graptemys pseudogeographica,,False Map Turtle,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Graptemys pseudogeographica kohnii,,Mississippi Map Turtle,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Pseudemys nelsoni,,Florida Red-bellied Cooter,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Trachemys callirostris callirostris,,Columbian slider,Exotic,Freshwater,,
Reptiles-Turtles,Emydidae,Trachemys dorbigni,,Brazilian Slider,Exotic,Freshwater,,
Reptiles-Turtles,Emydidae,Trachemys scripta,,Pond Slider,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Trachemys scripta elegans,,Red-eared Slider,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Trachemys scripta scripta,,Yellow-bellied Slider,Native,Freshwater,,
Reptiles-Turtles,Emydidae,Trachemys stejnegeri malonei,,Inagua Slider,Exotic,Freshwater,,
Reptiles-Turtles,Kinosternidae,Kinosternon scorpioides,,Scorpion Mud Turtle,Exotic,Freshwater,,
Reptiles-Turtles,Kinosternidae,Staurotypus salvinii,,Pacific Coast giant musk turtle,Exotic,Freshwater,,
Reptiles-Turtles,Kinosternidae,Sternotherus carinatus,,Razor-backed Musk Turtle,Native,Freshwater,,
Reptiles-Turtles,Pelomedusidae,Pelusios subniger,,East African Black Mud Turtle,Exotic,Freshwater,,
Reptiles-Turtles,Pelomedusidae,Podocnemis lewyana,,Magdalena River Turtle,Exotic,Freshwater,,
Reptiles-Turtles,Pelomedusidae,Podocnemis sextuberculata,,Six-tubercled river turtle,Exotic,Freshwater,,
Reptiles-Turtles,Pelomedusidae,Podocnemis unifilis,,Yellow-spotted River Turtle,Exotic,Freshwater,,
Reptiles-Turtles,Trionychidae,Apalone ferox,,Florida Softshell,Native,Freshwater,,
Reptiles-Turtles,Trionychidae,Apalone spinifera,,Spiny Softshell,Native,Freshwater,,
